iter	Passed	Remaining
400	32271	7967
401	32352	7886
402	32437	7807
403	32515	7726
404	32590	7644
405	32670	7564
406	32754	7484
407	32856	7408
408	32937	7328
409	33008	7245
410	33086	7164
411	33155	7081
412	33234	7000
413	33316	6920
414	33394	6839
415	33465	6757
416	33540	6675
417	33610	6593
418	33685	6512
419	33764	6431
420	33846	6351
421	33916	6268
422	33985	6186
423	34056	6104
424	34132	6023
425	34205	5941
426	34281	5860
427	34358	5779
428	34427	5697
429	34500	5616
430	34571	5534
431	34640	5452
432	34721	5372
433	34814	5294
434	34898	5214
435	34969	5133
436	35038	5051
437	35107	4969
438	35179	4888
439	35257	4807
440	35328	4726
441	35411	4646
442	35481	4565
443	35549	4483
444	35614	4401
445	35690	4321
446	35762	4240
447	35842	4160
448	35919	4079
449	35989	3998
450	36070	3918
451	36146	3838
452	36222	3758
453	36309	3678
454	36379	3597
455	36451	3517
456	36526	3436
457	36606	3356
458	36696	3277
459	36807	3200
460	36911	3122
461	36995	3042
462	37079	2963
463	37173	2884
464	37261	2804
465	37352	2725
466	37434	2645
467	37503	2564
468	37573	2483
469	37639	2402
470	37719	2322
471	37801	2242
472	37876	2162
473	37955	2081
474	38026	2001
475	38101	1921
476	38170	1840
477	38251	1760
478	38328	1680
479	38413	1600
480	38491	1520
481	38560	1440
482	38641	1360
483	38720	1280
484	38816	1200
485	38902	1120
486	38973	1040
487	39043	960
488	39113	879
489	39188	799
490	39273	719
491	39354	639
492	39443	560
493	39535	480
494	39613	400
495	39702	320
496	39786	240
497	39874	160
498	39960	80
499	40037	0
